rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
61,5,3,기쁜마음치과의원,226,236,0.393421,0.178228,0.401912,0.973561,3,-,0.078477,-0.011532,0.052895
62,4,3,미켈란치과의원,427,200,0.393421,0.175017,0.40167,0.970108,-,9,0.078477,-0.010122,0.053002
63,4,3,서울에스타운치과의원,69,1,0.393376,0.17485,0.40164,0.969866,-,-,0.078477,-0.008908,0.053093
64,4,1,서울아트치과의원,85,4,0.393376,0.173481,0.401536,0.968393,-,-,0.078477,0.015528,0.054937
65,0,2,오리진치과의원,87,6,0.393376,0.172448,0.401458,0.967282,1,-,0.078477,0.004062,0.054071
66,6,3,헤리치과의원 강남점,229,533,0.393421,0.170312,0.401314,0.965047,44,5,0.078477,-0.0126,0.052814
67,5,3,이선국치과의원,60,2,0.393376,0.166841,0.401035,0.961252,-,-,0.078477,-0.003982,0.053464
68,7,3,강남믿음치과의원,105,4,0.393376,0.165891,0.400963,0.96023,3,-,0.078477,-0.008309,0.053137
69,2,3,서울예인치과의원,68,1,0.393376,0.165395,0.400926,0.959697,-,-,0.078477,0.006903,0.054286
70,7,3,하늘사랑치과의원,367,386,0.393421,0.231883,0.400917,1.026221,4,1,0.078477,-0.003996,0.053464
71,0,2,김앤이치과의원,146,5,0.393421,0.198683,0.400585,0.992689,4,-,0.078477,0.021715,0.055404
72,6,3,강남젠틀치과의원,271,32,0.393421,0.226588,0.400182,1.020191,12,-1,0.078477,-0.005672,0.053337
73,1,3,사과나무치과의원,137,365,0.393421,0.185091,0.399149,0.977661,2,63,0.078477,0.007851,0.054357
74,1,3,연세미치과의원 강남점,34,1,0.393376,0.139469,0.398969,0.931814,-,-,0.078477,0.010041,0.054522
75,5,3,제아치과의원 별관,4,77,0.393421,0.130879,0.398338,0.922638,-,-,0.078477,-0.020223,0.052238
76,1,3,보아치과의원,615,263,0.393421,0.115259,0.397159,0.905839,22,2,0.078477,-0.001613,0.053643
77,3,1,라윤영치과의원,22,0,0.393421,0.111813,0.396899,0.902133,-,-,0.078477,0.012011,0.054671
78,4,1,누가치과의원,17,0,0.393376,0.103881,0.396284,0.893541,-,-,0.078477,0.010902,0.054588
79,0,2,예손치과의원,34,4,0.393376,0.103108,0.396225,0.892709,-,-,0.078477,0.002566,0.053959
80,2,3,스타서울치과의원,30,1,0.393376,0.102889,0.396209,0.892474,-,-,0.078477,0.000801,0.053826
81,5,3,BF라인치과의원,46,106,0.393376,0.099946,0.395986,0.889308,-,-,0.078477,-0.011316,0.05291
82,5,3,이가치과의원,17,2,0.393376,0.09959,0.39596,0.888926,-,-,0.078477,-0.004169,0.053451
83,0,2,루센트치과의원 신논현,1662,4283,0.393421,0.432748,0.39579,1.221959,106,1572,0.078477,0.008076,0.054375
84,4,1,서울바름치과,7,0,0.393376,0.05989,0.392963,0.846229,-,-,0.078477,0.000854,0.053829
85,2,1,강남영치과의원,20,18,0.393421,0.058976,0.392912,0.845309,-,-,0.078477,-0.00157,0.053647
86,4,1,서울서이치과의원,619,553,0.393421,0.244804,0.392851,1.031076,21,25,0.078477,0.011036,0.054598
87,6,3,서울심미치과의원,809,1565,0.393376,0.354174,0.392737,1.140287,46,258,0.078477,-0.038542,0.050856
88,2,3,백영완치과의원,64,1,0.393421,0.159259,0.392708,0.945388,2,-,0.078477,-0.005799,0.053327
89,4,3,하얀치과의원,6,4,0.393376,0.067472,0.391895,0.852743,-,-,0.078477,-0.018258,0.052387
90,6,3,2D치과의원,1670,679,0.393376,0.394576,0.391698,1.17965,78,32,0.078477,-0.022983,0.052031
91,3,1,양치과의원,138,17,0.393376,0.192054,0.390675,0.976105,1,-,0.078477,0.013163,0.054758
92,3,3,센트럴치과의원 강남점,229,332,0.393421,0.260689,0.390357,1.044467,21,6,0.078477,-0.025914,0.051809
93,0,2,에이아이치과의원,0,0,0.393376,0.04351,0.389901,0.826787,-,-,0.078477,0.002074,0.053921
94,3,3,미시간D치과,2,1,0.393376,0.01842,0.389834,0.80163,-,-,0.078477,-0.019939,0.052261
95,3,3,박형국치과,0,0,0.393376,0.016211,0.389667,0.799254,-,-,0.078477,-0.012017,0.052858
96,1,3,연세에이플란트치과의원,168,1539,0.393421,0.200188,0.387554,0.981163,-1,108,0.078477,-0.007608,0.05319
97,39,1,한성익의원 치과의원,34,1,0.366346,0.112316,0.38672,0.865382,-,-,0.246402,0.027679,0.119222
98,1,3,덴탑치과의원,119,4,0.393421,0.156783,0.38602,0.936224,5,-,0.078477,-0.001921,0.05362
99,2,1,미니쉬치과의원 강남점,133,2676,0.393421,0.451907,0.385816,1.231144,11,1403,0.078477,0.065846,0.058734
100,4,3,지앤미치과의원 강남점,38,1,0.393376,0.113678,0.385519,0.892573,-,-,0.078477,-0.017819,0.05242
101,3,3,서울시카고치과의원,48,0,0.393376,0.108598,0.383967,0.885941,-,-,0.078477,0.007353,0.05432
102,3,3,이성일치과의원,15,0,0.393376,0.091754,0.383679,0.868809,1,-,0.078477,0.006621,0.054265
103,1,3,최낙준치과의원,48,2,0.393376,0.169146,0.381052,0.943574,-1,-,0.078477,0.003873,0.054057
104,1,3,박영준치과의원,41,1,0.393376,0.124414,0.380136,0.897926,4,-,0.078477,0.005586,0.054187
105,5,3,라이브치과병원 서울강남,1940,8137,0.393421,0.335916,0.379841,1.109178,54,-335,0.078477,-0.01593,0.052563
106,1,1,강남유레카치과의원,235,1986,0.393421,0.452941,0.378279,1.224641,-1,776,0.078477,0.016165,0.054985
